gauge_id,geol_class_1st,geol_class_1st_perc,geol_class_2nd,geol_class_2nd_perc,inter_volca_rocks_perc,geol_porosity,geol_permeability
PE_212900,vi,71.08,pa,12.13,71.08,0.081,-12.992
PE_200907,vi,42.07,py,38.1,42.07,0.089,-12.701
