gauge_id,inceptisols_perc,entisols_perc,alfisols_perc,ultisols_perc,aridisols_perc,gelisols_perc,oxisols_perc,mollisols_perc,vertisols_perc,soil_dominant_class
PE_212900,66.25,30.17,3,0.29,0.18,0.07,0.04,0,0,inceptisols_perc
PE_200907,25.71,5.31,6.33,61.12,0,0.02,1.46,0,0.05,ultisols_perc
