gauge_id,area,perimeter,elev_min,elev_max,elev_mean,elev_median,slope_mean
PE_212900,2123.034,190.546,398.48,5869.59,3538.815,3920.238,28.031
PE_200907,2363.302,7422.198,266.36,4097,2348.974,2311.996,11.545
