gauge_id,q_mean,runoff_ratio,stream_elas,baseflow_index,slope_fdc,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
PE_212900,0.592,0.376,1.449,0.531,2.889,185.865,0.028,2.461,78.889,27.04,181.667,82.819,0
PE_200907,1.287,0.428,1.154,0.522,1.523,190.892,0.152,4.184,3.722,5.04,61.944,15.439,0
