gauge_id,surface_adh_n,surface_adh_vol,surface_adh_use,groundwater_adh_n,groundwater_adh_vol,groundwater_adh_use,reservoir_n,reservoir_vol,reservoir_use
PE_212900,1,3.243,Agricultural,0,0,None,5,2.2,Irrigation
PE_200907,3,0.303,Agricultural,41,0.377,Domestic,6,0.3,Mining
