gauge_id,agricul_perc,forest_perc,non_veget_perc,non_woody_perc,water_perc,non_forest_perc,non_identi_perc,land_dominant_class
PE_212900,6.667,3.706,19.163,70.088,0.376,0,0,non_woody_perc
PE_200907,52.703,20.589,2.582,24.126,0,0,0,agricul_perc_perc
